,University ID,Degree in Engineering,Degree in Math,Degree in Computer Science,Degree in Science and Tech,Region,Share of Female,Enrollment of UnderGrad,Mean Earning After 6 yrs of Grad (0-30k),Mean Earning After 6 yrs of Grad(30-75k),Mean Earning After 6 yrs of Grad(75k +),Mean Earning After 10 yrs of Grad (0-30k),Mean Earning After 10 yrs of Grad(30-75k),Mean Earning After 10 yrs of Grad(75k +)
0,100654,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.564030132,4824.0,27200,29100,30800,33000,37300,39500
1,100663,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.63909074,12866.0,38600,39400,40500,47000,49500,49300
3,100706,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.476349937,6917.0,36300,44200,41500,47000,55500,55100
4,100724,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.61341853,4189.0,23500,25400,27700,29000,32500,34300
5,100751,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.615252417,32387.0,42900,41400,42700,45500,51600,55800
6,100760,0.0,0.0,0.0,0.0,5,0.603738318,1404.0,23300,29700,33800,28900,37300,42800
7,100812,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.705078125,2801.0,30800,38600,42500,36700,45400,50900
8,100830,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.69294809,4211.0,29400,33700,35300,34600,39100,45200
9,100858,Degree in Engineering,Degree in Math,Degree in Computer Science,0.0,5,0.531504671,23391.0,41900,42200,44100,53800,54600,58300
13,101116,0.0,0.0,Degree in Computer Science,0.0,5,0.762866865,369.0,24700,37700,55700,32200,42100,61700
14,101143,0.0,0.0,0.0,0.0,5,0.516587678,1365.0,29600,37600,50900,40000,47800,45500
15,101161,0.0,0.0,0.0,0.0,5,0.653179191,4101.0,24900,28400,30100,29700,37900,38600
16,101189,0.0,Degree in Math,Degree in Computer Science,0.0,5,0.638731597,2272.0,26900,40100,39900,32000,45800,51900
20,101295,0.0,0.0,0.0,0.0,5,0.63122102,4805.0,25900,31800,35300,31700,37100,46000
22,101365,0.0,0.0,Degree in Computer Science,0.0,5,0.813546519,537.0,24500,34900,40100,35000,42500,52600
23,101435,0.0,Degree in Math,0.0,0.0,5,0.470414201,1099.0,29000,36700,36800,31300,47300,47700
