Region,Institution Ownership Type,Admission Rate,Avg SAT Score,STEM Degree Total,Mean 10yr Earnings Post Graduation,Mean 6 yr Earnings Post Graduation,Mean 8yr Earnings Post Graduation,Median 10yr Earnings Post Graduation,Median 8yr Earnings Post Graduation,Median 6yr Earnings Post Graduation
5,1,0.9027,929,0.1391,35500,28400,30600,31000,27100,25200
5,1,0.9181,1195,0.0951,48400,39400,44100,41200,38300,35100
5,1,0.8123,1322,0.3815,52000,40300,45900,46700,41800,36200
5,1,0.9787,935,0.074,30600,24400,27500,27700,25200,22600
5,1,0.533,1278,0.1259,51600,42400,45600,44500,40300,37400
5,1,0.8254,1083,0.0658,38000,32100,37000,33300,33500,30100
5,1,0.8393,1282,0.2005,56300,43100,50800,48800,44900,39500
5,2,0.6186,1231,0.0865,53100,36700,43500,46700,38600,33400
5,2,0.5101,1031,0.0128,40700,33400,37000,35400,32600,29700
5,2,0.5598,1085,0.0161,43600,34600,39900,39900,36800,32600
5,1,0.5402,1121,0.0591,38100,31800,34900,35800,32100,28700
5,2,0.507,1085,0,29300,26300,25500,26100,24800,22200
5,1,0.2821,1041,0.0579,40400,29700,33400,37400,29600,26400
5,1,0.5587,1138,0,49800,33600,43600,42700,39200,33100
5,2,0.4702,1113,0.0481,38700,32700,37300,35200,33700,29300
5,1,0.6445,1143,0.0255,36100,28000,32300,34200,31300,27500
5,1,0.7022,1104,0.0175,42800,32100,36300,37800,31800,28600
5,2,0.4707,1005,0.0274,37400,25800,32400,29700,27900,21800
5,2,0.8319,1230,0.0225,59800,45200,50700,49900,42000,37500
5,1,0.8208,1142,0.1354,46800,35100,42400,37800,35800,31500
5,2,0.4568,1156,0.0314,51300,34800,44000,45100,40600,33600
5,1,0.8812,1085,0.0566,41100,34300,37500,37000,33800,30400
5,2,0.5032,1036,0.2274,42200,34500,39000,35500,34200,28500
8,1,0.767,1094,0.1735,45100,36500,40400,38700,34300,30700
6,1,0.8415,1235,0.1733,55500,42200,48800,47700,43300,38300
6,2,0.7652,1245,0.3968,70300,51400,60800,66200,55700,47900
6,2,0.9526,1132,0,34300,28500,30700,33200,30400,25000
6,2,0.6444,956,0,34900,32600,31900,32200,30300,32200
5,1,0.7463,1105,0.1053,39500,34600,36900,34900,33200,31200
5,2,0.6418,1202,0.0707,44800,31400,40800,38600,35500,30400
5,1,0.6596,1239,0.125,52700,40900,46900,44900,41700,37100
5,1,0.4669,951,0.0899,30600,23900,28100,27200,25200,21200
5,1,0.6602,1165,0.0557,36600,30900,35100,32200,30600,27500
5,2,0.6875,1125,0,48100,46200,47400,47200,45100,47300
5,1,0.8995,1175,0.0287,42500,32600,37500,38300,34300,29600
5,2,0.6755,1027,0,43000,34200,37600,35300,35300,30000
5,2,0.7212,1203,0.094,47000,35600,42700,40900,37800,33400
5,1,0.7968,1102,0.02,40400,29300,35000,35700,32900,27000
5,2,0.798,1295,0.0613,44500,35100,41300,39700,38700,29200
5,2,0.7579,1256,0.0991,55400,45300,51800,45800,43600,36900
5,2,0.7094,1186,0.0245,46000,34600,38900,41200,34900,30600
5,2,0.8915,1047,0.0412,38600,28700,36500,33900,32900,25900
5,2,0.6241,1030,0.0194,36400,29300,32200,33100,29900,28400
5,1,0.6945,1102,0.0255,39000,30400,37800,35700,33700,28200
8,2,0.6012,1131,0.0221,55900,48300,52500,51100,47200,42000
8,2,0.7198,1186,0.0349,50700,38700,43000,44500,38500,34500
8,2,0.7708,1092,0.0915,47500,40000,43200,42600,39500,34300
8,2,0.0774,1558,0.7323,106300,68500,105700,85900,77500,54500
8,2,0.7275,1158,0.0733,60200,43700,48900,54200,45800,38500
8,1,0.3461,1317,0.312,74300,54700,63300,66900,57900,52100
8,1,0.5713,991,0.0442,48800,37400,42400,44500,38500,33100
8,1,0.5507,1129,0.2479,58000,42900,49400,54000,45900,39900
8,1,0.6778,1088,0.1137,55400,42900,48300,48100,42800,38200
8,1,0.5941,1004,0.066,48500,37200,43400,44700,38900,32400
8,1,0.4572,1096,0.0616,51800,38500,44800,47200,41000,35100
8,1,0.2799,1130,0.1112,53000,40000,46200,48100,42500,36500
8,1,0.4645,968,0.095,49900,37200,44200,46100,40200,33700
8,1,0.5765,1014,0.0819,49700,37400,43500,45400,39500,33700
8,1,0.6776,1036,0.1039,54200,41800,48100,48900,44300,38600
8,1,0.1711,1414,0.2284,79000,57600,68100,64700,56800,48700
8,1,0.4336,1286,0.1612,68100,45300,56600,58200,49200,40400
8,1,0.3651,1291,0.2107,65800,44300,54300,58400,48800,41100
8,1,0.161,1387,0.1554,73200,52000,63900,60700,54100,44500
8,1,0.5723,1215,0.1367,55300,36800,45300,49700,42000,33700
8,1,0.3399,1343,0.2993,69600,48200,58900,59900,52100,43400
8,1,0.3281,1346,0.1178,62400,42800,52100,55300,46800,39000
8,1,0.5094,1287,0.1504,53800,38400,44700,46900,40700,33800
8,2,0.5724,1293,0.029,56600,46900,52800,54500,49600,43900
8,2,0.9016,1142,0,82700,73200,74200,81900,70700,67100
8,2,0.5845,1121,0.0081,50800,40800,44300,46400,40300,36000
8,2,0.6235,945,0,42500,31000,35900,36700,31600,27700
8,2,0.1036,1452,0.0694,93200,68200,80600,72900,64000,55900
8,2,0.8843,1127,0,63600,54200,56700,55600,49400,44400
8,2,0.7239,1050,0.0042,45600,38400,41300,43900,37900,34900
8,2,0.1542,1527,0.636,104200,87200,99300,88800,81700,72500
8,2,0.5256,857,0,57600,49000,51600,50800,43500,39600
8,1,0.8183,1062,0.0489,40100,30200,35300,36600,31100,26200
8,2,0.9669,1002,0,34400,32800,33400,32700,32600,28400
8,2,0.4754,1106,0.0182,52700,45800,49000,49200,46400,41700
8,2,0.4821,994,0.0154,54600,43600,49000,49500,41500,33700
8,2,0.658,1116,0.0417,52100,38600,41300,41700,37800,35500
8,2,0.5248,1307,0.0691,71600,53000,62700,61300,54300,45100
8,2,0.4299,1086,0,59700,42500,46300,50900,43100,33200
8,2,0.8121,1013,0.005,63500,57700,59400,53200,53000,51900
8,2,0.9362,995,0.0386,63900,49000,53200,56400,47800,44300
8,2,0.4179,1370,0.0336,59400,40700,52800,50600,47200,39200
8,2,0.2837,1019,0,40700,36600,40400,36000,35200,29700
8,2,0.5021,1055,0.01,61700,48600,52300,51700,44600,39300
8,2,0.6487,1220,0.1984,84200,61000,74600,71700,62300,51700
8,2,0.3985,1319,0.0052,77600,54100,72200,65500,57500,47800
8,2,0.7629,1211,0.0343,54400,43600,52200,50900,48700,40800
8,2,0.0836,1461,0.1706,77300,51200,66900,58100,51300,41100
8,2,0.7496,1182,0.0141,57700,48700,52900,55000,49500,43700
8,1,0.3542,1206,0.0984,55900,41600,48500,51000,44200,37700
